id;name;address;city;country;rating;facilities
1;encompassing;Lead index;Kenosha;Swaziland;53788;Identity structure Polarised
2;Arizona;Graphical Soft envisioneer;Fadelton;Tunisia;77390;FTP
3;Ergonomic Global;microchip connecting;North Paolochester;Antarctica (the territory South of 60 deg S);93069;Pula
4;Mouse microchip Swaziland;eco-centric;Dorothyshire;Cote d'Ivoire;99791;Licensed
5;array green;Hawaii Fresh relationships;Wisokyport;French Guiana;91331;Bhutanese
6;Chips;Fantastic JBOD Liaison;Port Bethel;Czech Republic;17426;invoice capacitor bypass
7;RSS HDD Metal;Cotton program;Lake Moses;Jordan;32541;intuitive deposit Wooden
8;payment Ergonomic;U.S.;Owensboro;Romania;72327;Berkshire Rustic
9;function;Rustic Concrete Assurance;Aishaburgh;Bosnia and Herzegovina;84904;Trail Computer
10;iterate Alaska;Palladium Refined;Lawrence;Turks and Caicos Islands;51106;Coordinator Wooden
