id;check_in_date;check_out_date;total_price;status
1;2024-03-06T02:25:08;2024-03-05T10:55:40;13776;collaboration Practical
2;2024-03-05T10:01:10;2024-03-05T22:11:58;86845;cultivate EXE
3;2024-03-05T15:58:55;2024-03-05T22:03:51;11608;Point calculate Corporate
4;2024-03-05T12:14:11;2024-03-05T20:46:09;76896;monitor transparent
5;2024-03-06T01:54:12;2024-03-06T08:09:41;87927;Islands monitor
6;2024-03-05T11:40:05;2024-03-05T12:07:38;46497;web-readiness bandwidth
7;2024-03-06T02:56:20;2024-03-05T20:55:31;91871;Sum
8;2024-03-06T02:31:00;2024-03-05T13:36:53;87314;parsing world-class
9;2024-03-06T02:28:33;2024-03-05T14:29:03;5007;Ergonomic Chips
10;2024-03-05T14:28:17;2024-03-05T17:16:42;53204;composite Missouri Shirt
